# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  SCF  30  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-8.214E+00 kf=2.053E+00 Vint=-1.954E+01 Rs_int= 1.767
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    694.50      2.00     2   2.4277
#           3       0.00000    164.10      2.00     2   3.2308
#           4       0.00000    323.50      4.00     2   3.2413
#           5       0.00000      5.14      4.00     3   3.2437
#           6       0.00000      6.37      4.00     3   3.2582
#           7       0.00000    151.90      2.00     2   3.2872
#           8       0.00000     91.99      8.00     3   3.7075
#           9       0.00000    117.40      8.00     3   3.7101
#          10       0.00000      8.22      4.00     2   3.8035
#          11       0.00000     15.81      8.00     3   3.8061
#          15       0.00000      8.31      4.00     4   3.8088
#          16       0.00000     26.67      8.00     3   3.8655
#          17       0.00000     25.51      8.00     3   3.8885
#          18       0.00000     37.33      8.00     3   3.9121
#          19       0.00000     36.98      8.00     3   3.9173
#    16/  17 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     8.5000   -2.860843E-02  3.739969E-02  3.542846E+01
     8.5500   -3.382465E-02  3.704415E-02  3.570832E+01
     8.6000   -3.628422E-02  3.663793E-02  3.598925E+01
     8.6500   -3.581473E-02  3.618426E-02  3.627135E+01
     8.7000   -3.249083E-02  3.568663E-02  3.655475E+01
     8.7500   -2.662759E-02  3.514880E-02  3.683953E+01
     8.8000   -1.875295E-02  3.457483E-02  3.712584E+01
     8.8500   -9.561564E-03  3.396910E-02  3.741378E+01
     8.9000    1.458362E-04  3.333630E-02  3.770349E+01
     8.9500    9.532559E-03  3.268147E-02  3.799510E+01
     9.0000    1.779920E-02  3.200997E-02  3.828874E+01
     9.0500    2.418067E-02  3.132522E-02  3.858097E+01
     9.1000    2.827659E-02  3.063189E-02  3.887520E+01
     9.1500    2.979065E-02  2.993531E-02  3.917156E+01
     9.2000    2.865673E-02  2.924113E-02  3.947017E+01
     9.2500    2.504258E-02  2.855529E-02  3.977115E+01
     9.3000    1.933268E-02  2.788400E-02  4.007461E+01
     9.3500    1.209209E-02  2.723368E-02  4.038063E+01
     9.4000    4.014339E-03  2.661093E-02  4.068927E+01
     9.4500   -4.141968E-03  2.602241E-02  4.100055E+01
     9.5000   -1.162212E-02  2.547473E-02  4.131445E+01
     9.5500   -1.762947E-02  2.489645E-02  4.162753E+01
     9.6000   -2.173876E-02  2.436359E-02  4.194304E+01
     9.6500   -2.361132E-02  2.388169E-02  4.226088E+01
     9.7000   -2.312022E-02  2.345587E-02  4.258088E+01
     9.7500   -2.035960E-02  2.309058E-02  4.290279E+01
     9.8000   -1.563382E-02  2.278948E-02  4.322631E+01
     9.8500   -9.427617E-03  2.255525E-02  4.355108E+01
     9.9000   -2.359936E-03  2.238947E-02  4.387670E+01
     9.9500    4.874272E-03  2.229248E-02  4.420273E+01
    10.0000    1.156897E-02  2.226339E-02  4.452873E+01
    10.0500    1.695002E-02  2.218305E-02  4.485194E+01
    10.1000    2.059511E-02  2.216200E-02  4.517481E+01
    10.1500    2.216271E-02  2.219766E-02  4.549698E+01
    10.2000    2.150844E-02  2.228663E-02  4.581813E+01
    10.2500    1.869713E-02  2.242481E-02  4.613799E+01
    10.3000    1.399589E-02  2.260754E-02  4.645632E+01
    10.3500    7.848704E-03  2.282978E-02  4.677294E+01
    10.4000    8.349566E-04  2.308619E-02  4.708771E+01
    10.4500   -6.384160E-03  2.337132E-02  4.740057E+01
    10.5000   -1.312660E-02  2.367974E-02  4.771146E+01
    10.5500   -1.875216E-02  2.400607E-02  4.802038E+01
    10.6000   -2.272120E-02  2.434513E-02  4.832737E+01
    10.6500   -2.464420E-02  2.469196E-02  4.863248E+01
    10.7000   -2.431755E-02  2.504188E-02  4.893579E+01
    10.7500   -2.174247E-02  2.539053E-02  4.923738E+01
    10.8000   -1.712529E-02  2.573385E-02  4.953735E+01
    10.8500   -1.085930E-02  2.606813E-02  4.983581E+01
    10.9000   -3.489516E-03  2.639000E-02  5.013287E+01
    10.9500    4.336074E-03  2.669639E-02  5.042863E+01
    11.0000    1.192459E-02  2.698458E-02  5.072320E+01
    11.0500    1.858584E-02  2.721084E-02  5.101739E+01
    11.1000    2.371655E-02  2.741836E-02  5.131061E+01
    11.1500    2.685733E-02  2.760534E-02  5.160295E+01
    11.2000    2.772320E-02  2.777026E-02  5.189450E+01
    11.2500    2.622859E-02  2.791177E-02  5.218533E+01
    11.3000    2.249441E-02  2.802876E-02  5.247552E+01
    11.3500    1.683686E-02  2.812032E-02  5.276514E+01
    11.4000    9.739097E-03  2.818571E-02  5.305427E+01
    11.4500    1.808203E-03  2.822442E-02  5.334297E+01
    11.5000   -6.278402E-03  2.823607E-02  5.363130E+01
    11.5500   -1.383247E-02  2.822048E-02  5.391935E+01
    11.6000   -2.021495E-02  2.817764E-02  5.420715E+01
    11.6500   -2.489127E-02  2.810767E-02  5.449479E+01
    11.7000   -2.747699E-02  2.801087E-02  5.478232E+01
    11.7500   -2.776994E-02  2.788767E-02  5.506979E+01
    11.8000   -2.576614E-02  2.773862E-02  5.535726E+01
    11.8500   -2.165815E-02  2.756444E-02  5.564480E+01
    11.9000   -1.581639E-02  2.736593E-02  5.593244E+01
    11.9500   -8.755012E-03  2.714405E-02  5.622026E+01
    12.0000   -1.085759E-03  2.689984E-02  5.650829E+01
    12.0500    6.553560E-03  2.664516E-02  5.679717E+01
    12.1000    1.350469E-02  2.637124E-02  5.708629E+01
    12.1500    1.919231E-02  2.607912E-02  5.737570E+01
    12.2000    2.315917E-02  2.576990E-02  5.766544E+01
    12.2500    2.510378E-02  2.544477E-02  5.795557E+01
    12.3000    2.490390E-02  2.510499E-02  5.824612E+01
    12.3500    2.262398E-02  2.475188E-02  5.853715E+01
    12.4000    1.850615E-02  2.438683E-02  5.882870E+01
    12.4500    1.294578E-02  2.401126E-02  5.912083E+01
    12.5000    6.454148E-03  2.362669E-02  5.941357E+01
    12.5500   -3.884650E-04  2.323464E-02  5.970698E+01
    12.6000   -6.984775E-03  2.283670E-02  6.000110E+01
    12.6500   -1.277302E-02  2.243449E-02  6.029597E+01
    12.7000   -1.727531E-02  2.202965E-02  6.059164E+01
    12.7500   -2.013765E-02  2.162385E-02  6.088815E+01
    12.8000   -2.115825E-02  2.121876E-02  6.118552E+01
    12.8500   -2.030179E-02  2.081607E-02  6.148380E+01
    12.9000   -1.769872E-02  2.041746E-02  6.178302E+01
    12.9500   -1.362994E-02  2.002458E-02  6.208319E+01
    13.0000   -8.498467E-03  1.963908E-02  6.238433E+01
    13.0500   -2.791848E-03  1.926722E-02  6.268644E+01
    13.1000    2.967678E-03  1.890223E-02  6.298951E+01
    13.1500    8.261382E-03  1.854556E-02  6.329355E+01
    13.2000    1.262564E-02  1.819865E-02  6.359856E+01
    13.2500    1.569240E-02  1.786289E-02  6.390455E+01
    13.3000    1.722014E-02  1.753962E-02  6.421149E+01
    13.3500    1.711284E-02  1.723008E-02  6.451937E+01
    13.4000    1.542539E-02  1.693543E-02  6.482814E+01
    13.4500    1.235528E-02  1.665672E-02  6.513776E+01
    13.5000    8.221528E-03  1.639486E-02  6.544815E+01
    13.5500    3.433069E-03  1.615063E-02  6.575925E+01
    13.6000   -1.550384E-03  1.592464E-02  6.607096E+01
    13.6500   -6.261311E-03  1.571733E-02  6.638318E+01
    13.7000   -1.026721E-02  1.552897E-02  6.669582E+01
    13.7500   -1.320942E-02  1.535962E-02  6.700873E+01
    13.8000   -1.483446E-02  1.520914E-02  6.732181E+01
    13.8500   -1.501526E-02  1.507722E-02  6.763493E+01
    13.9000   -1.376044E-02  1.496334E-02  6.794795E+01
    13.9500   -1.121109E-02  1.486682E-02  6.826075E+01
    14.0000   -7.625564E-03  1.478679E-02  6.857321E+01
    14.0500   -3.341367E-03  1.472667E-02  6.888615E+01
    14.1000    1.224289E-03  1.468083E-02  6.919853E+01
    14.1500    5.639368E-03  1.464803E-02  6.951024E+01
    14.2000    9.491489E-03  1.462688E-02  6.982119E+01
    14.2500    1.242564E-02  1.461591E-02  7.013130E+01
    14.3000    1.417603E-02  1.461358E-02  7.044051E+01
    14.3500    1.458935E-02  1.461830E-02  7.074878E+01
    14.4000    1.363730E-02  1.462845E-02  7.105606E+01
    14.4500    1.141755E-02  1.464245E-02  7.136235E+01
    14.5000    8.143198E-03  1.465871E-02  7.166764E+01
    14.5500    4.121825E-03  1.467575E-02  7.197194E+01
    14.6000   -2.737792E-04  1.469211E-02  7.227527E+01
    14.6500   -4.640369E-03  1.470646E-02  7.257765E+01
    14.7000   -8.581286E-03  1.471756E-02  7.287913E+01
    14.7500   -1.174238E-02  1.472428E-02  7.317974E+01
    14.8000   -1.384354E-02  1.472561E-02  7.347955E+01
    14.8500   -1.470313E-02  1.472067E-02  7.377861E+01
    14.9000   -1.425312E-02  1.470873E-02  7.407697E+01
    14.9500   -1.254375E-02  1.468916E-02  7.437470E+01
    15.0000   -9.737518E-03  1.466148E-02  7.467186E+01
    15.0500   -6.072628E-03  1.463261E-02  7.497027E+01
    15.1000   -1.891426E-03  1.459624E-02  7.526828E+01
    15.1500    2.428913E-03  1.455233E-02  7.556592E+01
    15.2000    6.502939E-03  1.450092E-02  7.586325E+01
    15.2500    9.971606E-03  1.444215E-02  7.616034E+01
    15.3000    1.253406E-02  1.437620E-02  7.645722E+01
    15.3500    1.397377E-02  1.430335E-02  7.675393E+01
    15.4000    1.417665E-02  1.422388E-02  7.705053E+01
    15.4500    1.313989E-02  1.413815E-02  7.734705E+01
    15.5000    1.097056E-02  1.404652E-02  7.764353E+01
    15.5500    7.874580E-03  1.394937E-02  7.793998E+01
    15.6000    4.136940E-03  1.384712E-02  7.823643E+01
    15.6500    9.515658E-05  1.374014E-02  7.853289E+01
    15.7000   -3.891534E-03  1.362885E-02  7.882938E+01
    15.7500   -7.474468E-03  1.351361E-02  7.912590E+01
    15.8000   -1.034639E-02  1.339479E-02  7.942246E+01
    15.8500   -1.226808E-02  1.327272E-02  7.971903E+01
    15.9000   -1.308842E-02  1.314768E-02  8.001563E+01
    15.9500   -1.275624E-02  1.301995E-02  8.031222E+01
    16.0000   -1.132295E-02  1.288975E-02  8.060881E+01
    16.0500   -8.942825E-03  1.278886E-02  8.090704E+01
    16.1000   -5.816342E-03  1.268570E-02  8.120511E+01
    16.1500   -2.232419E-03  1.258009E-02  8.150301E+01
    16.2000    1.484628E-03  1.247177E-02  8.180073E+01
    16.2500    5.004689E-03  1.236047E-02  8.209827E+01
    16.3000    8.021429E-03  1.224589E-02  8.239563E+01
    16.3500    1.027916E-02  1.212770E-02  8.269281E+01
    16.4000    1.159467E-02  1.200557E-02  8.298982E+01
    16.4500    1.187210E-02  1.187916E-02  8.328668E+01
    16.5000    1.110969E-02  1.174815E-02  8.358340E+01
