# La2CuO4, Radaelli et al, PRB 49(6) 4163 (1994)                 Feff 8.50L  
# doi:10.1103/PhysRevB.49.4163
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=29 Rmt= 1.205 Rnm= 1.322 K  shell
# Pot 1 Z=57 Rmt= 1.755 Rnm= 1.830
# Pot 2 Z=29 Rmt= 1.175 Rnm= 1.252
# Pot 3 Z= 8 Rmt= 1.031 Rnm= 1.081
# Gam_ch=1.729E+00 H-L exch
# Mu=-3.009E+00 kf=2.107E+00 Vint=-1.992E+01 Rs_int= 1.722
# PATH  Rmax= 4.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.950                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      4.00     2   1.9044
#           2       0.00000    935.80      2.00     2   2.4277
#           3       0.00000    234.00      2.00     2   3.2308
#           4       0.00000    461.10      4.00     2   3.2413
#           6       0.00000      4.54      4.00     3   3.2582
#           7       0.00000    216.20      2.00     2   3.2872
#           8       0.00000    102.40      8.00     3   3.7075
#           9       0.00000    120.40      8.00     3   3.7101
#          10       0.00000     11.33      4.00     2   3.8035
#          11       0.00000     20.03      8.00     3   3.8061
#          15       0.00000     10.24      4.00     4   3.8088
#          16       0.00000     19.61      8.00     3   3.8655
#          17       0.00000     18.40      8.00     3   3.8885
#    13/  15 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     7.3500   -2.316371E-02  2.459739E-02  2.950202E+01
     7.4000   -2.615692E-02  2.620034E-02  2.978755E+01
     7.4500   -2.700846E-02  2.770690E-02  3.007014E+01
     7.5000   -2.547158E-02  2.911072E-02  3.035051E+01
     7.5500   -2.158422E-02  3.040576E-02  3.062661E+01
     7.6000   -1.555036E-02  3.161164E-02  3.090163E+01
     7.6500   -7.780946E-03  3.272542E-02  3.117586E+01
     7.7000    1.133486E-03  3.374474E-02  3.144952E+01
     7.7500    1.047270E-02  3.466780E-02  3.172281E+01
     7.8000    1.944998E-02  3.549333E-02  3.199589E+01
     7.8500    2.728283E-02  3.622055E-02  3.226890E+01
     7.9000    3.326476E-02  3.684916E-02  3.254200E+01
     7.9500    3.683136E-02  3.737933E-02  3.281528E+01
     8.0000    3.761453E-02  3.781169E-02  3.308889E+01
     8.0500    3.546661E-02  3.811800E-02  3.336190E+01
     8.1000    3.055867E-02  3.834298E-02  3.363524E+01
     8.1500    2.324751E-02  3.848806E-02  3.390898E+01
     8.2000    1.409608E-02  3.855496E-02  3.418323E+01
     8.2500    3.827289E-03  3.854571E-02  3.445806E+01
     8.3000   -6.736499E-03  3.846265E-02  3.473357E+01
     8.3500   -1.674309E-02  3.830840E-02  3.500985E+01
     8.4000   -2.538321E-02  3.808591E-02  3.528699E+01
     8.4500   -3.195992E-02  3.779840E-02  3.556509E+01
     8.5000   -3.594868E-02  3.744945E-02  3.584426E+01
     8.5500   -3.705572E-02  3.705615E-02  3.612348E+01
     8.6000   -3.523427E-02  3.661421E-02  3.640373E+01
     8.6500   -3.067004E-02  3.612713E-02  3.668512E+01
     8.7000   -2.377592E-02  3.559865E-02  3.696774E+01
     8.7500   -1.515592E-02  3.503280E-02  3.725171E+01
     8.8000   -5.552730E-03  3.443387E-02  3.753715E+01
     8.8500    4.216515E-03  3.380642E-02  3.782416E+01
     8.9000    1.333072E-02  3.315533E-02  3.811289E+01
     8.9500    2.103544E-02  3.248578E-02  3.840345E+01
     9.0000    2.670746E-02  3.180325E-02  3.869597E+01
     9.0500    2.987534E-02  3.110901E-02  3.898734E+01
     9.1000    3.040788E-02  3.040964E-02  3.928066E+01
     9.1500    2.832905E-02  2.971050E-02  3.957605E+01
     9.2000    2.388779E-02  2.901720E-02  3.987363E+01
     9.2500    1.753380E-02  2.833561E-02  4.017350E+01
     9.3000    9.875908E-03  2.767179E-02  4.047576E+01
     9.3500    1.627014E-03  2.703196E-02  4.078048E+01
     9.4000   -6.459856E-03  2.642245E-02  4.108769E+01
     9.4500   -1.365851E-02  2.584957E-02  4.139740E+01
     9.5000   -1.933380E-02  2.531952E-02  4.170956E+01
     9.5500   -2.289727E-02  2.475853E-02  4.202128E+01
     9.6000   -2.417420E-02  2.424461E-02  4.233527E+01
     9.6500   -2.310161E-02  2.378281E-02  4.265142E+01
     9.7000   -1.983133E-02  2.337767E-02  4.296953E+01
     9.7500   -1.471382E-02  2.303306E-02  4.328934E+01
     9.8000   -8.264349E-03  2.275201E-02  4.361056E+01
     9.8500   -1.114694E-03  2.253657E-02  4.393282E+01
     9.9000    6.045303E-03  2.238772E-02  4.425572E+01
     9.9500    1.253102E-02  2.230528E-02  4.457885E+01
    10.0000    1.772554E-02  2.228791E-02  4.490180E+01
    10.0500    2.102634E-02  2.222911E-02  4.522263E+01
    10.1000    2.222589E-02  2.222703E-02  4.554298E+01
    10.1500    2.122074E-02  2.227880E-02  4.586252E+01
    10.2000    1.811245E-02  2.238081E-02  4.618096E+01
    10.2500    1.319713E-02  2.252885E-02  4.649804E+01
    10.3000    6.937489E-03  2.271824E-02  4.681356E+01
    10.3500   -7.987727E-05  2.294396E-02  4.712737E+01
    10.4000   -7.198299E-03  2.320080E-02  4.743936E+01
    10.4500   -1.375088E-02  2.348347E-02  4.774946E+01
    10.5000   -1.912111E-02  2.378672E-02  4.805764E+01
    10.5500   -2.279876E-02  2.410541E-02  4.836392E+01
    10.6000   -2.442612E-02  2.443460E-02  4.866834E+01
    10.6500   -2.383040E-02  2.476958E-02  4.897094E+01
    10.7000   -2.103955E-02  2.510592E-02  4.927182E+01
    10.7500   -1.628002E-02  2.543949E-02  4.957105E+01
    10.8000   -9.956746E-03  2.576648E-02  4.986873E+01
    10.8500   -2.617224E-03  2.608339E-02  5.016497E+01
    10.9000    5.097131E-03  2.638705E-02  5.045987E+01
    10.9500    1.250794E-02  2.667460E-02  5.075354E+01
    11.0000    1.896006E-02  2.694350E-02  5.104607E+01
    11.0500    2.386291E-02  2.715729E-02  5.133860E+01
    11.1000    2.677332E-02  2.735198E-02  5.163022E+01
    11.1500    2.742718E-02  2.752591E-02  5.192100E+01
    11.2000    2.575677E-02  2.767765E-02  5.221103E+01
    11.2500    2.189632E-02  2.780599E-02  5.250039E+01
    11.3000    1.616981E-02  2.790989E-02  5.278913E+01
    11.3500    9.062182E-03  2.798854E-02  5.307735E+01
    11.4000    1.176588E-03  2.804130E-02  5.336510E+01
    11.4500   -6.818456E-03  2.806771E-02  5.365246E+01
    11.5000   -1.424730E-02  2.806748E-02  5.393948E+01
    11.5500   -2.048562E-02  2.804050E-02  5.422624E+01
    11.6000   -2.501405E-02  2.798680E-02  5.451278E+01
    11.6500   -2.746219E-02  2.790657E-02  5.479917E+01
    11.7000   -2.763936E-02  2.780015E-02  5.508548E+01
    11.7500   -2.554948E-02  2.766801E-02  5.537174E+01
    11.8000   -2.138889E-02  2.751075E-02  5.565803E+01
    11.8500   -1.552754E-02  2.732911E-02  5.594439E+01
    11.9000   -8.475384E-03  2.712392E-02  5.623088E+01
    11.9500   -8.369519E-04  2.689616E-02  5.651754E+01
    12.0000    6.741607E-03  2.664689E-02  5.680445E+01
    12.0500    1.365094E-02  2.638433E-02  5.709246E+01
    12.1000    1.929848E-02  2.610315E-02  5.738072E+01
    12.1500    2.323327E-02  2.580436E-02  5.766927E+01
    12.2000    2.515816E-02  2.548909E-02  5.795815E+01
    12.2500    2.495287E-02  2.515851E-02  5.824741E+01
    12.3000    2.268118E-02  2.481388E-02  5.853710E+01
    12.3500    1.858202E-02  2.445651E-02  5.882726E+01
    12.4000    1.304556E-02  2.408778E-02  5.911794E+01
    12.4500    6.576555E-03  2.370910E-02  5.940919E+01
    12.5000   -2.516581E-04  2.332195E-02  5.970105E+01
    12.5500   -6.848152E-03  2.292786E-02  5.999357E+01
    12.6000   -1.265600E-02  2.252838E-02  6.028680E+01
    12.6500   -1.719985E-02  2.212511E-02  6.058077E+01
    12.7000   -2.012541E-02  2.171966E-02  6.087553E+01
    12.7500   -2.122750E-02  2.131366E-02  6.117111E+01
    12.8000   -2.046454E-02  2.090876E-02  6.146756E+01
    12.8500   -1.795832E-02  2.050661E-02  6.176490E+01
    12.9000   -1.397953E-02  2.010886E-02  6.206317E+01
    12.9500   -8.920463E-03  1.971711E-02  6.236237E+01
    13.0000   -3.257714E-03  1.933296E-02  6.266254E+01
    13.0500    2.494398E-03  1.896364E-02  6.296377E+01
    13.1000    7.823612E-03  1.860145E-02  6.326595E+01
    13.1500    1.226702E-02  1.824785E-02  6.356909E+01
    13.2000    1.545285E-02  1.790424E-02  6.387320E+01
    13.2500    1.713150E-02  1.757201E-02  6.417826E+01
    13.3000    1.719502E-02  1.725247E-02  6.448428E+01
    13.3500    1.568353E-02  1.694687E-02  6.479122E+01
    13.4000    1.277816E-02  1.665636E-02  6.509904E+01
    13.4500    8.781641E-03  1.638197E-02  6.540769E+01
    13.5000    4.088273E-03  1.612461E-02  6.571711E+01
    13.5500   -8.536251E-04  1.588505E-02  6.602721E+01
    13.6000   -5.583368E-03  1.566389E-02  6.633791E+01
    13.6500   -9.669814E-03  1.546156E-02  6.664910E+01
    13.7000   -1.274977E-02  1.527829E-02  6.696068E+01
    13.7500   -1.455953E-02  1.511412E-02  6.727251E+01
    13.8000   -1.495680E-02  1.496890E-02  6.758447E+01
    13.8500   -1.393127E-02  1.484227E-02  6.789643E+01
    13.9000   -1.160314E-02  1.473368E-02  6.820826E+01
    13.9500   -8.209791E-03  1.464238E-02  6.851982E+01
    14.0000   -4.082223E-03  1.456748E-02  6.883101E+01
    14.0500    4.002002E-04  1.451401E-02  6.914262E+01
    14.1000    4.807632E-03  1.447432E-02  6.945362E+01
    14.1500    8.730327E-03  1.444708E-02  6.976392E+01
    14.2000    1.180839E-02  1.443088E-02  7.007344E+01
    14.2500    1.376394E-02  1.442420E-02  7.038210E+01
    14.3000    1.442536E-02  1.442548E-02  7.068985E+01
    14.3500    1.374151E-02  1.443311E-02  7.099666E+01
    14.4000    1.178486E-02  1.444551E-02  7.130250E+01
    14.4500    8.743328E-03  1.446111E-02  7.160736E+01
    14.5000    4.901830E-03  1.447838E-02  7.191124E+01
    14.5500    6.152545E-04  1.449587E-02  7.221417E+01
    14.6000   -3.724473E-03  1.451222E-02  7.251618E+01
    14.6500   -7.724238E-03  1.452617E-02  7.281729E+01
    14.7000   -1.102522E-02  1.453656E-02  7.311756E+01
    14.7500   -1.333480E-02  1.454238E-02  7.341703E+01
    14.8000   -1.445213E-02  1.454271E-02  7.371576E+01
    14.8500   -1.428505E-02  1.453680E-02  7.401380E+01
    14.9000   -1.285712E-02  1.452400E-02  7.431123E+01
    14.9500   -1.030413E-02  1.450381E-02  7.460810E+01
    15.0000   -6.860655E-03  1.447587E-02  7.490447E+01
    15.0500   -2.815157E-03  1.444804E-02  7.520212E+01
    15.1000    1.456643E-03  1.441373E-02  7.549946E+01
    15.1500    5.574519E-03  1.437293E-02  7.579652E+01
    15.2000    9.175520E-03  1.432572E-02  7.609336E+01
    15.2500    1.194611E-02  1.427226E-02  7.639003E+01
    15.3000    1.364953E-02  1.421273E-02  7.668656E+01
    15.3500    1.414602E-02  1.414740E-02  7.698300E+01
    15.4000    1.340412E-02  1.407655E-02  7.727936E+01
    15.4500    1.150228E-02  1.400052E-02  7.757567E+01
    15.5000    8.620493E-03  1.391965E-02  7.787196E+01
    15.5500    5.023132E-03  1.383430E-02  7.816823E+01
    15.6000    1.034339E-03  1.374483E-02  7.846449E+01
    15.6500   -2.991533E-03  1.365159E-02  7.876074E+01
    15.7000   -6.701792E-03  1.355491E-02  7.905698E+01
    15.7500   -9.776667E-03  1.345510E-02  7.935320E+01
    15.8000   -1.195715E-02  1.335243E-02  7.964938E+01
    15.8500   -1.306696E-02  1.324710E-02  7.994551E+01
    15.9000   -1.302679E-02  1.313930E-02  8.024157E+01
    15.9500   -1.185962E-02  1.302912E-02  8.053755E+01
    16.0000   -9.686864E-03  1.291663E-02  8.083342E+01
    16.0500   -6.714865E-03  1.283070E-02  8.113064E+01
    16.1000   -3.199344E-03  1.274205E-02  8.142761E+01
    16.1500    5.425848E-04  1.265030E-02  8.172431E+01
    16.2000    4.179143E-03  1.255505E-02  8.202075E+01
    16.2500    7.393612E-03  1.245585E-02  8.231692E+01
    16.3000    9.912195E-03  1.235226E-02  8.261282E+01
    16.3500    1.152755E-02  1.224383E-02  8.290846E+01
    16.4000    1.211595E-02  1.213012E-02  8.320386E+01
    16.4500    1.164667E-02  1.201071E-02  8.349904E+01
    16.5000    1.018284E-02  1.188519E-02  8.379403E+01
    16.5500    7.873984E-03  1.175323E-02  8.408887E+01
    16.6000    4.940834E-03  1.161454E-02  8.438360E+01
    16.6500    1.654231E-03  1.146887E-02  8.467826E+01
    16.7000   -1.690108E-03  1.131606E-02  8.497292E+01
    16.7500   -4.798487E-03  1.115605E-02  8.526763E+01
    16.8000   -7.405361E-03  1.098885E-02  8.556247E+01
    16.8500   -9.296363E-03  1.081455E-02  8.585752E+01
    16.9000   -1.032621E-02  1.063338E-02  8.615285E+01
    16.9500   -1.042997E-02  1.044563E-02  8.644856E+01
    17.0000   -9.626884E-03  1.025175E-02  8.674474E+01
    17.0500   -8.015187E-03  1.006174E-02  8.704294E+01
    17.1000   -5.754360E-03  9.866627E-03  8.734191E+01
    17.1500   -3.067004E-03  9.667252E-03  8.764176E+01
    17.2000   -2.082894E-04  9.464572E-03  8.794259E+01
    17.2500    2.558120E-03  9.259629E-03  8.824450E+01
    17.3000    4.984376E-03  9.053549E-03  8.854761E+01
    17.3500    6.860762E-03  8.847530E-03  8.885201E+01
    17.4000    8.033994E-03  8.642835E-03  8.915780E+01
    17.4500    8.419903E-03  8.440773E-03  8.946505E+01
    17.5000    8.009456E-03  8.242688E-03  8.977384E+01
    17.5500    6.867693E-03  8.049935E-03  9.008422E+01
    17.6000    5.125822E-03  7.863861E-03  9.039621E+01
    17.6500    2.967363E-03  7.685776E-03  9.070980E+01
    17.7000    6.097379E-04  7.516928E-03  9.102498E+01
    17.7500   -1.716878E-03  7.358470E-03  9.134168E+01
    17.8000   -3.791423E-03  7.211428E-03  9.165979E+01
