    10.5500    2.063450E-02  8.450286E-02  4.687721E+01
    10.6000   -7.718317E-03  7.845232E-02  4.722243E+01
    10.6500   -3.086349E-02  7.117726E-02  4.757239E+01
    10.7000   -4.524518E-02  6.280020E-02  4.792836E+01
    10.7500   -4.921088E-02  5.346817E-02  4.829293E+01
    10.8000   -4.334505E-02  4.335654E-02  4.867166E+01
    10.8500   -3.031491E-02  3.268696E-02  4.907800E+01
    10.9000   -1.425756E-02  2.181022E-02  4.955301E+01
    10.9500    1.594945E-04  1.176589E-02  5.027904E+01
    11.0000    8.798090E-03  8.798747E-03  5.182405E+01
    11.0500    9.136427E-03  1.730840E-02  5.285100E+01
    11.1000    3.828750E-04  2.819336E-02  5.339349E+01
    11.1500   -1.591555E-02  3.924955E-02  5.382460E+01
    11.2000   -3.623248E-02  4.999168E-02  5.421778E+01
    11.2500   -5.579615E-02  6.017555E-02  5.459400E+01
    11.3000   -6.961371E-02  6.962324E-02  5.496132E+01
    11.3500   -7.356636E-02  7.818886E-02  5.532345E+01
    11.4000   -6.533925E-02  8.574975E-02  5.568231E+01
    11.4500   -4.498449E-02  9.220433E-02  5.603901E+01
    11.5000   -1.499436E-02  9.747167E-02  5.639422E+01
    11.5500    2.013379E-02  1.014917E-01  5.674837E+01
    11.6000    5.475047E-02  1.042255E-01  5.710174E+01
    11.6500    8.314663E-02  1.056551E-01  5.745454E+01
    11.7000    1.006579E-01  1.057837E-01  5.780689E+01
    11.7500    1.045530E-01  1.046343E-01  5.815890E+01
    11.8000    9.452566E-02  1.022500E-01  5.851065E+01
    11.8500    7.269858E-02  9.869187E-02  5.886220E+01
    11.9000    4.314701E-02  9.403801E-02  5.921359E+01
    11.9500    1.105382E-02  8.838187E-02  5.956486E+01
    12.0000   -1.832113E-02  8.183028E-02  5.991607E+01
    12.0500   -4.084878E-02  7.482170E-02  6.026778E+01
    12.1000   -5.377123E-02  6.712125E-02  6.061940E+01
    12.1500   -5.639510E-02  5.885424E-02  6.097096E+01
    12.2000   -5.005741E-02  5.015210E-02  6.132252E+01
    12.2500   -3.768841E-02  4.115021E-02  6.167417E+01
    12.3000   -2.307159E-02  3.198561E-02  6.202616E+01
    12.3500   -9.971977E-03  2.279485E-02  6.237907E+01
    12.4000   -1.324767E-03  1.371191E-02  6.273509E+01
    12.4500    1.344909E-03  4.867487E-03  6.311180E+01
    12.5000   -1.842306E-03  3.631007E-03  6.022240E+01
    12.5500   -9.262429E-03  1.164378E-02  6.061006E+01
    12.6000   -1.825845E-02  1.908460E-02  6.096574E+01
    12.6500   -2.581880E-02  2.585926E-02  6.131701E+01
    12.7000   -2.930378E-02  3.188906E-02  6.166650E+01
    12.7500   -2.705649E-02  3.710948E-02  6.201485E+01
    12.8000   -1.876724E-02  4.147078E-02  6.236224E+01
    12.8500   -5.521099E-03  4.493848E-02  6.270868E+01
    12.9000    1.046863E-02  4.749357E-02  6.305410E+01
    12.9500    2.636842E-02  4.913251E-02  6.339835E+01
    13.0000    3.935096E-02  4.986698E-02  6.374123E+01
    13.0500    4.732976E-02  4.984790E-02  6.408344E+01
    13.1000    4.898030E-02  4.899075E-02  6.442331E+01
    13.1500    4.434877E-02  4.734387E-02  6.476026E+01
    13.2000    3.465922E-02  4.496881E-02  6.509345E+01
    13.2500    2.198513E-02  4.193999E-02  6.542167E+01
    13.3000    8.754984E-03  3.834463E-02  6.574309E+01
    13.3500   -2.788457E-03  3.428377E-02  6.605487E+01
    13.4000   -1.105071E-02  2.987546E-02  6.635234E+01
    13.4500   -1.536919E-02  2.526329E-02  6.662744E+01
    13.5000   -1.606330E-02  2.063769E-02  6.686548E+01
    13.5500   -1.425283E-02  1.628950E-02  6.703882E+01
    13.6000   -1.150045E-02  1.273360E-02  6.710052E+01
    13.6500   -9.372544E-03  1.084535E-02  6.701700E+01
    13.7000   -9.027396E-03  1.135623E-02  6.689234E+01
    13.7500   -1.092865E-02  1.377176E-02  6.689008E+01
    13.8000   -1.474776E-02  1.703454E-02  6.702011E+01
    13.8500   -1.947152E-02  2.046420E-02  6.723149E+01
    13.9000   -2.368081E-02  2.371769E-02  6.748847E+01
    13.9500   -2.592685E-02  2.661213E-02  6.777167E+01
    14.0000   -2.510979E-02  2.903990E-02  6.807056E+01
    14.0500   -2.080488E-02  3.105349E-02  6.838087E+01
    14.1000   -1.319267E-02  3.249649E-02  6.869700E+01
    14.1500   -3.287070E-03  3.334246E-02  6.901629E+01
    14.2000    7.384211E-03  3.358163E-02  6.933674E+01
    14.2500    1.712256E-02  3.321942E-02  6.965656E+01
    14.3000    2.443719E-02  3.227601E-02  6.997395E+01
    14.3500    2.836803E-02  3.078642E-02  7.028683E+01
    14.4000    2.867620E-02  2.880164E-02  7.059247E+01
    14.4500    2.585885E-02  2.639121E-02  7.088703E+01
    14.5000    2.098868E-02  2.364892E-02  7.116472E+01
    14.5500    1.542087E-02  2.070471E-02  7.141640E+01
    14.6000    1.044232E-02  1.774898E-02  7.162763E+01
    14.6500    6.950985E-03  1.507740E-02  7.177749E+01
    14.7000    5.244760E-03  1.314339E-02  7.184616E+01
    14.7500    4.971942E-03  1.249394E-02  7.184735E+01
    14.8000    5.254596E-03  1.339908E-02  7.185365E+01
    14.8500    4.953505E-03  1.557070E-02  7.193287E+01
    14.9000    3.007894E-03  1.848042E-02  7.209314E+01
    14.9500   -1.235887E-03  2.170312E-02  7.231361E+01
    15.0000   -7.790781E-03  2.496337E-02  7.257402E+01
    15.0500   -1.599208E-02  2.814578E-02  7.286093E+01
    15.1000   -2.452478E-02  3.108902E-02  7.316558E+01
    15.1500   -3.172132E-02  3.370398E-02  7.348272E+01
    15.2000   -3.591703E-02  3.592312E-02  7.380902E+01
    15.2500   -3.584161E-02  3.769502E-02  7.414231E+01
    15.3000   -3.094440E-02  3.898170E-02  7.448116E+01
    15.3500   -2.157473E-02  3.975713E-02  7.482462E+01
    15.4000   -8.969896E-03  4.000641E-02  7.517209E+01
    15.4500    4.953288E-03  3.972519E-02  7.552324E+01
    15.5000    1.796280E-02  3.891929E-02  7.587795E+01
    15.5500    2.795465E-02  3.760430E-02  7.623635E+01
    15.6000    3.337909E-02  3.580522E-02  7.659878E+01
    15.6500    3.355608E-02  3.355624E-02  7.696594E+01
    15.7000    2.881001E-02  3.090062E-02  7.733897E+01
    15.7500    2.039280E-02  2.789101E-02  7.771979E+01
    15.8000    1.021159E-02  2.459082E-02  7.811159E+01
    15.8500    4.196683E-04  2.107782E-02  7.851990E+01
    15.9000   -7.040002E-03  1.745353E-02  7.895500E+01
    15.9500   -1.083962E-02  1.386804E-02  7.943708E+01
    16.0000   -1.053225E-02  1.058855E-02  8.000744E+01
    16.0500   -6.633992E-03  8.178032E-03  8.073521E+01
    16.1000   -4.397168E-04  7.542667E-03  8.162308E+01
    16.1500    6.238444E-03  8.994902E-03  8.244782E+01
    16.2000    1.149864E-02  1.165132E-02  8.309014E+01
    16.2500    1.377818E-02  1.471633E-02  8.361120E+01
    16.3000    1.220212E-02  1.780920E-02  8.406818E+01
    16.3500    6.776848E-03  2.074683E-02  8.449025E+01
    16.4000   -1.611043E-03  2.342605E-02  8.489183E+01
    16.4500   -1.138721E-02  2.578041E-02  8.528049E+01
    16.5000   -2.062819E-02  2.776405E-02  8.566052E+01
    16.5500   -2.747050E-02  2.934500E-02  8.603444E+01
    16.6000   -3.050064E-02  3.050218E-02  8.640385E+01
    16.6500   -2.904296E-02  3.122391E-02  8.676977E+01
    16.7000   -2.328657E-02  3.150699E-02  8.713287E+01
    16.7500   -1.422875E-02  3.135612E-02  8.749359E+01
    16.8000   -3.452702E-03  3.078331E-02  8.785220E+01
    16.8500    7.207512E-03  2.980736E-02  8.820882E+01
    16.9000    1.603963E-02  2.845330E-02  8.856347E+01
    16.9500    2.178309E-02  2.675180E-02  8.891606E+01
    17.0000    2.384829E-02  2.473844E-02  8.926632E+01
    17.0500    2.239728E-02  2.246780E-02  8.961464E+01
    17.1000    1.819748E-02  1.996168E-02  8.995898E+01
    17.1500    1.248772E-02  1.726696E-02  9.029774E+01
    17.2000    6.641669E-03  1.443388E-02  9.062803E+01
    17.2500    1.859945E-03  1.151697E-02  9.094398E+01
    17.3000   -1.076127E-03  8.579620E-03  9.123195E+01
    17.3500   -1.938439E-03  5.714407E-03  9.145227E+01
    17.4000   -1.050830E-03  3.167233E-03  9.144438E+01
    17.4500    8.383920E-04  2.215327E-03  9.071807E+01
    17.5000    2.773221E-03  3.935395E-03  9.032421E+01
    17.5500    3.840925E-03  6.260281E-03  9.044565E+01
    17.6000    3.397537E-03  8.536662E-03  9.069686E+01
    17.6500    1.217410E-03  1.063333E-02  9.099145E+01
    17.7000   -2.463293E-03  1.249875E-02  9.130457E+01
    17.7500   -7.013237E-03  1.410416E-02  9.162661E+01
    17.8000   -1.156120E-02  1.543207E-02  9.195299E+01
    17.8500   -1.519939E-02  1.647310E-02  9.228116E+01
    17.9000   -1.718557E-02  1.722482E-02  9.260946E+01
    17.9500   -1.709809E-02  1.769124E-02  9.293666E+01
    18.0000   -1.491154E-02  1.788247E-02  9.326171E+01
    18.0500   -1.097612E-02  1.785102E-02  9.358555E+01
    18.1000   -5.904611E-03  1.757541E-02  9.390516E+01
    18.1500   -4.869584E-04  1.708155E-02  9.421927E+01
    18.2000    4.511139E-03  1.640119E-02  9.452642E+01
    18.2500    8.495836E-03  1.557195E-02  9.482487E+01
    18.3000    1.113819E-02  1.463736E-02  9.511254E+01
    18.3500    1.239620E-02  1.364689E-02  9.538711E+01
    18.4000    1.246799E-02  1.265571E-02  9.564613E+01
    18.4500    1.169541E-02  1.172330E-02  9.588757E+01
    18.5000    1.044782E-02  1.091004E-02  9.611070E+01
    18.5500    9.018910E-03  1.027009E-02  9.631734E+01
    18.6000    7.562922E-03  9.840581E-03  9.651281E+01
    18.6500    6.084343E-03  9.630461E-03  9.670552E+01
    18.7000    4.479160E-03  9.615535E-03  9.690481E+01
    18.7500    2.611491E-03  9.744184E-03  9.711805E+01
    18.8000    3.998486E-04  9.950605E-03  9.734918E+01
    18.8500   -2.114793E-03  1.016814E-02  9.759888E+01
    18.9000   -4.741231E-03  1.033782E-02  9.786582E+01
    18.9500   -7.160862E-03  1.041191E-02  9.814777E+01
