# 1-bromo-adamantane                                             Feff 8.50L  
# POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu= 4.480E+00 kf=2.227E+00 Vint=-1.442E+01 Rs_int= 1.628
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    124.70      3.00     2   2.8567
#           3       0.00000     36.46      6.00     2   3.0185
#           4       0.00000     44.99      4.00     3   3.1734
#           5       0.00000     22.50      2.00     3   3.1732
#           6       0.00000     14.74      8.00     3   3.4865
#           7       0.00000      7.37      4.00     3   3.4868
#           9       0.00000      7.39      2.00     4   3.4899
#     8/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    10.0500    2.619526E-03  2.639242E-03  3.310903E+01
    10.1000    2.472276E-03  2.615648E-03  3.331935E+01
    10.1500    2.213311E-03  2.584968E-03  3.352960E+01
    10.2000    1.858744E-03  2.547557E-03  3.373976E+01
    10.2500    1.429714E-03  2.503807E-03  3.394978E+01
    10.3000    9.508845E-04  2.454149E-03  3.415964E+01
    10.3500    4.487786E-04  2.399040E-03  3.436934E+01
    10.4000   -4.993544E-05  2.338960E-03  3.457887E+01
    10.4500   -5.200717E-04  2.274399E-03  3.478822E+01
    10.5000   -9.393599E-04  2.205855E-03  3.499742E+01
    10.5500   -1.289596E-03  2.133822E-03  3.520648E+01
    10.6000   -1.557453E-03  2.058784E-03  3.541545E+01
    10.6500   -1.734929E-03  1.981211E-03  3.562438E+01
    10.7000   -1.819429E-03  1.901551E-03  3.583335E+01
    10.7500   -1.813518E-03  1.820225E-03  3.604245E+01
    10.8000   -1.724399E-03  1.737625E-03  3.625178E+01
    10.8500   -1.563160E-03  1.654111E-03  3.646147E+01
    10.9000   -1.343879E-03  1.570011E-03  3.667169E+01
    10.9500   -1.082645E-03  1.485620E-03  3.688262E+01
    11.0000   -7.965477E-04  1.401204E-03  3.709446E+01
    11.0500   -4.929491E-04  1.334574E-03  3.732078E+01
    11.1000   -1.913017E-04  1.265955E-03  3.754742E+01
    11.1500    8.990068E-05  1.195662E-03  3.777437E+01
    11.2000    3.349110E-04  1.124030E-03  3.800166E+01
    11.2500    5.317181E-04  1.051409E-03  3.822933E+01
    11.3000    6.726864E-04  9.781556E-04  3.845744E+01
    11.3500    7.548066E-04  9.046332E-04  3.868612E+01
    11.4000    7.795561E-04  8.312028E-04  3.891554E+01
    11.4500    7.524039E-04  7.582190E-04  3.914598E+01
    11.5000    6.820323E-04  6.860253E-04  3.937785E+01
    11.5500    5.793642E-04  6.149515E-04  3.961178E+01
    11.6000    4.565020E-04  5.453133E-04  3.984868E+01
    11.6500    3.256800E-04  4.774171E-04  4.008998E+01
    11.7000    1.983209E-04  4.115734E-04  4.033793E+01
    11.7500    8.426571E-05  3.481284E-04  4.059622E+01
    11.8000   -8.780326E-06  2.875332E-04  4.087125E+01
    11.8500   -7.557161E-05  2.305054E-04  4.117473E+01
    11.9000   -1.134250E-04  1.784306E-04  4.152959E+01
    11.9500   -1.221317E-04  1.344073E-04  4.198079E+01
    12.0000   -1.037194E-04  1.054387E-04  4.259234E+01
    12.0500   -6.052822E-05  1.076462E-04  4.338515E+01
    12.1000    5.945661E-06  1.384569E-04  4.402525E+01
    12.1500    8.810230E-05  1.832164E-04  4.448394E+01
    12.2000    1.768647E-04  2.333133E-04  4.484263E+01
    12.2500    2.624200E-04  2.852696E-04  4.515013E+01
    12.3000    3.350151E-04  3.375877E-04  4.542956E+01
    12.3500    3.857478E-04  3.895179E-04  4.569234E+01
    12.4000    4.072953E-04  4.406260E-04  4.594455E+01
    12.4500    3.945269E-04  4.906272E-04  4.618968E+01
    12.5000    3.449566E-04  5.393151E-04  4.642989E+01
    12.5500    2.590005E-04  5.865286E-04  4.666653E+01
    12.6000    1.400214E-04  6.321347E-04  4.690053E+01
    12.6500   -5.845223E-06  6.760196E-04  4.713254E+01
    12.7000   -1.700715E-04  7.180835E-04  4.736300E+01
    12.7500   -3.422994E-04  7.582374E-04  4.759227E+01
    12.8000   -5.110443E-04  7.964013E-04  4.782059E+01
    12.8500   -6.644923E-04  8.325030E-04  4.804817E+01
    12.9000   -7.913354E-04  8.664774E-04  4.827515E+01
    12.9500   -8.815849E-04  8.982660E-04  4.850167E+01
    13.0000   -9.273070E-04  9.278161E-04  4.872782E+01
    13.0500   -9.210675E-04  9.505171E-04  4.894426E+01
    13.1000   -8.672239E-04  9.708336E-04  4.916090E+01
    13.1500   -7.668736E-04  9.887353E-04  4.937780E+01
    13.2000   -6.239397E-04  1.004193E-03  4.959504E+01
    13.2500   -4.450111E-04  1.017181E-03  4.981267E+01
    13.3000   -2.390100E-04  1.027675E-03  5.003076E+01
    13.3500   -1.670271E-05  1.035657E-03  5.024935E+01
    13.4000    2.099213E-04  1.041112E-03  5.046851E+01
    13.4500    4.283653E-04  1.044032E-03  5.068826E+01
    13.5000    6.263925E-04  1.044415E-03  5.090868E+01
    13.5500    7.927960E-04  1.042267E-03  5.112979E+01
    13.6000    9.181197E-04  1.037599E-03  5.135165E+01
    13.6500    9.952812E-04  1.030435E-03  5.157432E+01
    13.7000    1.020052E-03  1.020806E-03  5.179784E+01
    13.7500    9.913547E-04  1.008752E-03  5.202227E+01
    13.8000    9.113638E-04  9.943267E-04  5.224767E+01
    13.8500    7.853808E-04  9.775917E-04  5.247412E+01
    13.9000    6.215050E-04  9.586215E-04  5.270168E+01
    13.9500    4.301088E-04  9.375016E-04  5.293045E+01
    14.0000    2.231548E-04  9.143301E-04  5.316052E+01
    14.0500    1.423318E-05  8.928624E-04  5.339113E+01
    14.1000   -1.865032E-04  8.701962E-04  5.362307E+01
    14.1500   -3.677059E-04  8.464374E-04  5.385646E+01
    14.2000   -5.194649E-04  8.216996E-04  5.409144E+01
    14.2500   -6.339057E-04  7.961043E-04  5.432816E+01
    14.3000   -7.056518E-04  7.697817E-04  5.456679E+01
    14.3500   -7.321196E-04  7.428709E-04  5.480753E+01
    14.4000   -7.136297E-04  7.155208E-04  5.505059E+01
    14.4500   -6.533278E-04  6.878905E-04  5.529621E+01
    14.5000   -5.569209E-04  6.601505E-04  5.554466E+01
    14.5500   -4.322489E-04  6.324832E-04  5.579624E+01
    14.6000   -2.887226E-04  6.050840E-04  5.605125E+01
    14.6500   -1.366659E-04  5.781616E-04  5.631003E+01
    14.7000    1.339094E-05  5.519390E-04  5.657293E+01
    14.7500    1.514193E-04  5.266527E-04  5.684030E+01
    14.8000    2.685525E-04  5.025518E-04  5.711244E+01
    14.8500    3.576543E-04  4.798952E-04  5.738962E+01
    14.9000    4.137591E-04  4.589469E-04  5.767198E+01
    14.9500    4.343540E-04  4.399678E-04  5.795955E+01
    15.0000    4.194874E-04  4.232047E-04  5.825210E+01
    15.0500    3.833518E-04  4.191935E-04  5.853599E+01
    15.1000    3.173710E-04  4.154915E-04  5.882101E+01
    15.1500    2.269438E-04  4.121300E-04  5.910710E+01
    15.2000    1.193637E-04  4.091387E-04  5.939421E+01
    15.2500    3.254506E-06  4.065457E-04  5.968226E+01
    15.3000   -1.120978E-04  4.043770E-04  5.997115E+01
    15.3500   -2.174690E-04  4.026560E-04  6.026080E+01
    15.4000   -3.044192E-04  4.014030E-04  6.055110E+01
    15.4500   -3.659570E-04  4.006351E-04  6.084192E+01
    15.5000   -3.970955E-04  4.003656E-04  6.113316E+01
    15.5500   -3.952535E-04  4.006040E-04  6.142468E+01
    15.6000   -3.604713E-04  4.013557E-04  6.171635E+01
    15.6500   -2.954220E-04  4.026221E-04  6.200804E+01
    15.7000   -2.052170E-04  4.044002E-04  6.229962E+01
    15.7500   -9.701732E-05  4.066833E-04  6.259097E+01
    15.8000    2.051735E-05  4.094605E-04  6.288198E+01
    15.8500    1.379030E-04  4.127177E-04  6.317254E+01
    15.9000    2.455752E-04  4.164373E-04  6.346255E+01
    15.9500    3.346459E-04  4.205990E-04  6.375192E+01
    16.0000    3.976137E-04  4.251799E-04  6.404058E+01
    16.0500    4.246090E-04  4.255610E-04  6.433575E+01
    16.1000    4.160671E-04  4.272649E-04  6.463210E+01
    16.1500    3.720981E-04  4.303922E-04  6.492918E+01
    16.2000    2.955516E-04  4.350221E-04  6.522651E+01
    16.2500    1.918555E-04  4.412099E-04  6.552359E+01
    16.3000    6.866037E-05  4.489853E-04  6.581992E+01
    16.3500   -6.468887E-05  4.583522E-04  6.611505E+01
    16.4000   -1.978183E-04  4.692902E-04  6.640857E+01
    16.4500   -3.200810E-04  4.817568E-04  6.670014E+01
    16.5000   -4.213504E-04  4.956904E-04  6.698948E+01
    16.5500   -4.927931E-04  5.110136E-04  6.727640E+01
    16.6000   -5.275652E-04  5.276373E-04  6.756077E+01
    16.6500   -5.213783E-04  5.454637E-04  6.784252E+01
    16.7000   -4.728920E-04  5.643896E-04  6.812165E+01
    16.7500   -3.839008E-04  5.843083E-04  6.839818E+01
    16.8000   -2.592958E-04  6.051126E-04  6.867220E+01
    16.8500   -1.068007E-04  6.266954E-04  6.894378E+01
    16.9000    6.350511E-05  6.489514E-04  6.921305E+01
    16.9500    2.398468E-04  6.717777E-04  6.948013E+01
    17.0000    4.095538E-04  6.950743E-04  6.974514E+01
    17.0500    5.579839E-04  7.204380E-04  7.000097E+01
    17.1000    6.773649E-04  7.456790E-04  7.025445E+01
    17.1500    7.582061E-04  7.706644E-04  7.050578E+01
    17.2000    7.933586E-04  7.952699E-04  7.075518E+01
    17.2500    7.785566E-04  8.193793E-04  7.100282E+01
    17.3000    7.127707E-04  8.428834E-04  7.124888E+01
    17.3500    5.983475E-04  8.656794E-04  7.149350E+01
    17.4000    4.409222E-04  8.876706E-04  7.173682E+01
    17.4500    2.491094E-04  9.087658E-04  7.197896E+01
    17.5000    3.398839E-05  9.288789E-04  7.222003E+01
    17.5500   -1.915831E-04  9.479286E-04  7.246014E+01
    17.6000   -4.137836E-04  9.658383E-04  7.269937E+01
    17.6500   -6.187167E-04  9.825356E-04  7.293782E+01
    17.7000   -7.933155E-04  9.979524E-04  7.317555E+01
    17.7500   -9.262031E-04  1.012025E-03  7.341263E+01
    17.8000   -1.008450E-03  1.024693E-03  7.364914E+01
    17.8500   -1.034177E-03  1.035901E-03  7.388512E+01
    17.9000   -1.000968E-03  1.045596E-03  7.412065E+01
    17.9500   -9.100503E-04  1.053732E-03  7.435577E+01
    18.0000   -7.662496E-04  1.060263E-03  7.459053E+01
    18.0500   -5.761616E-04  1.061605E-03  7.482454E+01
    18.1000   -3.537260E-04  1.060964E-03  7.505832E+01
    18.1500   -1.123160E-04  1.058323E-03  7.529190E+01
    18.2000    1.335803E-04  1.053671E-03  7.552534E+01
    18.2500    3.693019E-04  1.047001E-03  7.575870E+01
    18.3000    5.809634E-04  1.038313E-03  7.599204E+01
    18.3500    7.563462E-04  1.027611E-03  7.622540E+01
    18.4000    8.856720E-04  1.014907E-03  7.645885E+01
    18.4500    9.622080E-04  1.000216E-03  7.669246E+01
    18.5000    9.826629E-04  9.835608E-04  7.692629E+01
    18.5500    9.473494E-04  9.649693E-04  7.716041E+01
    18.6000    8.601039E-04  9.444757E-04  7.739492E+01
    18.6500    7.279704E-04  9.221203E-04  7.762990E+01
    18.7000    5.606725E-04  8.979503E-04  7.786546E+01
    18.7500    3.699129E-04  8.720196E-04  7.810174E+01
    18.8000    1.685481E-04  8.443894E-04  7.833886E+01
    18.8500   -3.030198E-05  8.151289E-04  7.857700E+01
    18.9000   -2.141472E-04  7.843163E-04  7.881636E+01
    18.9500   -3.719625E-04  7.520394E-04  7.905720E+01
