# 1-bromo-adamantane                                             Feff 8.50L  
# POT  SCF  30  8.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# Abs   Z=35 Rmt= 1.346 Rnm= 1.565 K  shell
# Pot 1 Z= 6 Rmt= 0.889 Rnm= 1.046
# Pot 2 Z= 1 Rmt= 0.840 Rnm= 0.972
# Gam_ch=3.018E+00 H-L exch
# Mu=-6.087E+00 kf=2.184E+00 Vint=-1.447E+01 Rs_int= 1.661
# PATH  Rmax= 3.500,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=0.919                                        Global_sig2= 0.00000
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.00000    100.00      1.00     2   1.9521
#           2       0.00000    110.70      3.00     2   2.8567
#           3       0.00000     42.06      6.00     2   3.0185
#           4       0.00000     68.79      4.00     3   3.1734
#           5       0.00000     34.41      2.00     3   3.1732
#           6       0.00000     23.47      8.00     3   3.4865
#           7       0.00000     11.73      4.00     3   3.4868
#           8       0.00000      7.70      1.00     4   3.4898
#           9       0.00000     15.40      2.00     4   3.4899
#     9/   9 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
    14.0500    3.873971E-04  9.193757E-04  5.297212E+01
    14.1000    1.835792E-04  8.971061E-04  5.320098E+01
    14.1500   -2.094785E-05  8.735151E-04  5.343106E+01
    14.2000   -2.144072E-04  8.487058E-04  5.366247E+01
    14.2500   -3.859840E-04  8.227880E-04  5.389537E+01
    14.3000   -5.264822E-04  7.958792E-04  5.412991E+01
    14.3500   -6.288717E-04  7.681050E-04  5.436627E+01
    14.4000   -6.886912E-04  7.396001E-04  5.460468E+01
    14.4500   -7.042788E-04  7.105087E-04  5.484535E+01
    14.5000   -6.768188E-04  6.809862E-04  5.508856E+01
    14.5500   -6.102001E-04  6.511998E-04  5.533461E+01
    14.6000   -5.106984E-04  6.213301E-04  5.558385E+01
    14.6500   -3.865042E-04  5.915727E-04  5.583667E+01
    14.7000   -2.471309E-04  5.621397E-04  5.609349E+01
    14.7500   -1.027430E-04  5.332616E-04  5.635479E+01
    14.8000    3.654733E-05  5.051886E-04  5.662107E+01
    14.8500    1.613666E-04  4.781920E-04  5.689288E+01
    14.9000    2.637029E-04  4.525637E-04  5.717070E+01
    14.9500    3.374218E-04  4.286139E-04  5.745499E+01
    15.0000    3.786412E-04  4.066655E-04  5.774605E+01
    15.0500    3.973698E-04  3.988348E-04  5.803373E+01
    15.1000    3.834602E-04  3.915740E-04  5.832339E+01
    15.1500    3.386427E-04  3.849397E-04  5.861497E+01
    15.2000    2.670445E-04  3.789855E-04  5.890836E+01
    15.2500    1.748575E-04  3.737613E-04  5.920342E+01
    15.3000    6.984652E-05  3.693116E-04  5.949999E+01
    15.3500   -3.926347E-05  3.656744E-04  5.979784E+01
    15.4000   -1.434742E-04  3.628794E-04  6.009674E+01
    15.4500   -2.342232E-04  3.609473E-04  6.039641E+01
    15.5000   -3.040588E-04  3.598889E-04  6.069658E+01
    15.5500   -3.472308E-04  3.597042E-04  6.099694E+01
    15.6000   -3.601475E-04  3.603828E-04  6.129719E+01
    15.6500   -3.416665E-04  3.619036E-04  6.159706E+01
    15.7000   -2.931921E-04  3.642361E-04  6.189626E+01
    15.7500   -2.185743E-04  3.673407E-04  6.219457E+01
    15.8000   -1.238129E-04  3.711706E-04  6.249176E+01
    15.8500   -1.659128E-05  3.756727E-04  6.278767E+01
    15.9000    9.432561E-05  3.807894E-04  6.308217E+01
    15.9500    1.997834E-04  3.864598E-04  6.337515E+01
    16.0000    2.909656E-04  3.926209E-04  6.366654E+01
    16.0500    3.558634E-04  3.937751E-04  6.396024E+01
    16.1000    3.916550E-04  3.959783E-04  6.425474E+01
